0.1	3.633
0.125	3.5038
0.15	3.3787
0.175	3.254
0.2	3.0622
0.225	2.8861
0.25	2.758
0.275	2.661
0.3	2.6068
0.325	2.5702
0.35	2.5413
0.375	2.5212
0.4	2.4858
0.425	2.4579
0.45	2.4122
0.475	2.36
0.5	2.321
0.525	2.272
0.55	2.2392
0.575	2.2096
0.6	2.1719
0.625	2.1382
0.65	2.1031
0.675	2.0629
0.7	2.0268
0.725	1.9932
0.75	1.9603
0.775	1.9517
0.8	1.9448
0.825	1.9304
0.85	1.9304
0.875	1.907
0.9	1.8929
0.925	1.8413
0.95	1.807
0.975	1.788
1	1.764
1.025	1.7445
1.05	1.73
1.075	1.7151
1.1	1.6892
1.125	1.6726
1.15	1.6508
1.175	1.629
1.2	1.6159
1.225	1.6012
1.25	1.5869
1.275	1.5828
1.3	1.582
1.325	1.5655
1.35	1.5379
1.375	1.5142
1.4	1.4851
1.425	1.4674
1.45	1.4643
1.475	1.4637
1.5	1.4546
